Product keyword,Seller Facing Fee Category,Risk Factor
apparel - Clothing & Accessories -  Sport Specific Clothing -  Softball -  Girls -  Sanitary Liner Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Accessories -  Socks & Hosiery -  Socks -  No-Show Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Accessories -  Socks & Hosiery -  Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Accessories -  Socks & Hosiery -  Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Sportswear -  Base Layers & Compression -  Compression Socks -  Compression Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Boys -  Sportswear -  Base Layers & Compression -  Compression Socks -  Compression Calf Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Sportswear -  Base Layers & Compression -  Compression Socks -  Compression Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Girls -  Sportswear -  Base Layers & Compression -  Compression Socks -  Compression Calf Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Men -  Accessories -  Socks & Hosiery -  Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Baby -  Baby Girls -  Accessories -  Socks -  Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Baby -  Baby Girls -  Accessories -  Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Baby -  Baby Girls -  Accessories -  Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Baby -  Baby Boys -  Accessories -  Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Baby -  Baby Boys -  Accessories -  Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Baby -  Baby Boys -  Accessories -  Socks -  Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Women -  Sportswear -  Base Layers & Compression -  Compression Socks -  Compression Knee-High Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Women -  Accessories -  Socks & Stockings -  Socks -  Crew Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Women -  Accessories -  Socks & Stockings -  Socks -  Ankle Socks,Apparel - Socks & Stockings,Low Risk
apparel - Clothing & Accessories -  Women -  Accessories -  Socks & Stockings -  Socks -  No-Show Socks,Apparel - Socks & Stockings,Low Risk
apparel - Boys - Innerwear - Thermals - Thermal Bottoms,Apparel - Thermals,Low Risk
apparel - Boys - Innerwear - Thermals - Thermal One-Piece Suit,Apparel - Thermals,Low Risk
apparel - Boys - Innerwear - Thermals - Thermal Sets,Apparel - Thermals,Low Risk
apparel - Boys - Innerwear - Thermals - Thermal Tops,Apparel - Thermals,Low Risk
apparel - Girls - Innerwear - Sets,Apparel - Thermals,Low Risk
apparel - Girls - Innerwear - Thermals - Thermal Bottoms,Apparel - Thermals,Low Risk
apparel - Girls - Innerwear - Thermals - Thermal One-Piece Suits,Apparel - Thermals,Low Risk
apparel - Girls - Innerwear - Thermals - Thermal Sets,Apparel - Thermals,Low Risk
apparel - Girls - Innerwear - Thermals - Thermal Tops,Apparel - Thermals,Low Risk
apparel - Men - Innerwear - Thermals - Bottoms,Apparel - Thermals,Low Risk
apparel - Men - Innerwear - Thermals - Sets,Apparel - Thermals,Low Risk
