Marketplace,Seller facing Fee Category,Fees%
SE,Video Game Consoles,8%
SE,Video Games and Gaming Accessories,15%
SE,"Vitamins, Minerals and Supplements",≤105 kr: 5% | >105 kr: 15% (total)
SE,Watches,Up to 2600 kr: 15% | Above 2600 kr: 5% (tiered)
PL,Amazon Device Accessories,45%
PL,Automotive and Powersports,9%
PL,Automotive and Powersports Electronic Accessories,8% with a maximum fee of PLN 120
PL,Automotive and Powersports Electronic Devices,7% with a maximum fee of PLN 120
PL,Baby Products,≤PLN 40: 8% | >PLN 40: 10% (total)
PL,Baby Strollers and Safety Equipment,≤PLN 40: 8% | >PLN 40: 10% (total)
PL,Backpacks and Handbags,10% flat fee || For FBA  selection Up to PLN 180: 10% | Above PLN 180: 7% (tiered)
PL,Beauty,≤PLN 40: 4% | >PLN 40: 6% (total)
PL,"Beer, Wine and Spirits",10%
PL,Books,9%
PL,"Business, Industrial & Scientific Supplies",10%
PL,Clothing and Accessories,≤PLN 65: 5%| >PLN 65: 10% || For Prime selection Up to PLN 180: 10% | Above PLN 180: 7% (tiered)
PL,Commercial Electrical and Energy Supplies,10%
PL,Compact Appliances,4%
PL,Computer Accessories,Up to PLN 50: 8% | Above PLN 50: 4% (tiered)
PL,Computers,Up to PLN 200: 3% | Above PLN 200: 1.5% (tiered)
PL,Consumer Electronics,5%
PL,Cycling,8%
PL,Cycling Accessory,10.50%
PL,"Door, Window and Shower Accessories",6%
PL,Electronic Accessories,Up to PLN 50: 12% | Over PLN 50: 6% (tiered)
PL,Everything else,15%
PL,Eyewear,10% flat fee || For FBA  selection Up to PLN 180: 10% | Above PLN 180: 7% (tiered)
PL,Eyewear Protection,10% flat fee || For FBA  selection Up to PLN 180: 10% | Above PLN 180: 7% (tiered)
PL,Footwear,10% flat fee || For FBA  selection Up to PLN 180: 10% | Above PLN 180: 7% (tiered)
PL,Full-Size Appliances,4%
PL,Furniture,10%
PL,Furniture Accessories,6%
PL,Grocery and Gourmet,≤PLN 40: 5% | >PLN 40: 11% (total)
PL,Health & Personal Care,Up to PLN 40: 2.5% | Above PLN 40: 8% (total)
PL,Home Adhesives and Cable Ties,6%
PL,Home Linen and Rugs,10%
PL,Home Products,≤PLN 85: 8% | >PLN 85: 10% (total)
PL,Jewellery,Up to PLN 200: 12% | Above PLN 200: 5% (tiered)
PL,Kitchen,10%
PL,Lawn and Garden,9%
PL,Luggage,10%
PL,Luggage Accessories,10%
PL,Mattresses,10%
PL,"Music, VHS, DVD",10%
PL,Musical Instruments and AV Production,9%
PL,Office Products,10%
PL,Packing Materials,10%
PL,Personal Care Appliances,≤PLN 40: 8% | >PLN 40: 7.5% (total)
PL,Pet Clothing and Food,≤PLN 40: 5% | >PLN 40: 5.5% (total)
PL,Pet Supplies,5.50%
PL,Printer and Scanner accessories,Up to PLN 50: 12% | Above PLN 50: 6% (tiered)
PL,Reusable Work and Safety Gloves,≤PLN 40: 2.5% | >PLN 40: 8% (total)
PL,Software,9%
PL,Sports & Outdoors,10%
PL,Tools and Home Improvement,6%
PL,Toys and Games,10%
PL,Tyres,"5.5%, up to a maximum fee of PLN 120"
PL,Video Game Consoles,4%
PL,Video Games and Gaming Accessories,8%
PL,"Vitamins, Minerals and Supplements",≤PLN 40: 2.5% | >PLN 40: 8% (total)
PL,Watches,Up to PLN 200: 12% | Above PLN 200: 5% (tiered)
IE,Amazon Device Accessories,45%
IE,Automotive and Powersports,Up to €50: 15% | Above €50: 9% (tiered)
IE,Automotive and Powersports Electronic Accessories,12%
IE,Automotive and Powersports Electronic Devices,7%
IE,Baby Products,≤€10: 8% | >€10: 15% (total)
IE,Baby Strollers and Safety Equipment,≤€10: 8% | >€10: 15% (total)
IE,Backpacks and Handbags,15%
IE,"Beauty, Health and Personal Care",≤€10: 8% | >€10: 15% (total)
